评论ID,微博ID,微博内容,评论用户,评论内容,评论时间,记录时间
5222424687673583,5222419623314362,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,老佛骂,柳智敏甚至都不是正式solo,2025-10-16 17:22:15,2025-10-26 16:01:13
5222423853269879,5222419623314362,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,和小三一起出走的那个夜晚,柳智敏甚至是单曲,2025-10-16 17:18:57,2025-10-26 16:01:13
5222422741779132,5222419623314362,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,_珉柯,柳智敏,2025-10-16 17:14:32,2025-10-26 16:01:13
5222422349611230,5222419623314362,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,墨宇绘潇笺,荣儿出息了,2025-10-16 17:12:58,2025-10-26 16:01:13
5222420635451797,5222419623314362,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,吃瓜罗伯特,金智秀这次的舞台真的太绝了，每一帧都可以截图做壁纸！,2025-10-16 17:06:09,2025-10-26 16:01:13
5222419935792718,5222419623314362,2025年MAMA最佳女Solo表演：多荣、Minnie、Jennie、金智秀、柳智敏#MAMA提名名单# ,wwwoilin,柳智敏甚至那都不是一张自己的专辑🥲,2025-10-16 17:03:23,2025-10-26 16:01:13
5221402064196394,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,红色GP,n个万赞了，日推一天14万赞500多万浏览浏览继续,2025-10-13 21:38:44,2025-10-26 16:03:04
5221371525469967,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,上单柚子兔,这么美不认同的是发生什么事情了,2025-10-13 19:37:23,2025-10-26 16:03:04
5221368137777250,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,遇季暝,女神就这么美 认准#柳智敏五颜一# 只知道柳智敏很美呀 #柳智敏 五永一# 好🔥,2025-10-13 19:23:54,2025-10-26 16:03:04
5221366337110859,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,熟分七,宁艺卓也ugly的不像人,2025-10-13 19:16:46,2025-10-26 16:03:04
5221354360276731,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,乖录,就这么美,2025-10-13 18:29:10,2025-10-26 16:03:04
5221351363448245,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,脆脆笋-,美美的柳智敏,2025-10-13 18:17:16,2025-10-26 16:03:04
5221335758276248,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,misaeng_411,画质修复两次=,2025-10-13 17:15:15,2025-10-26 16:03:04
5221212130378698,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,苏北御,权威#柳智敏五颜一#,2025-10-13 09:04:00,2025-10-26 16:03:04
5221073538254475,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,渝季逢春Ziiuy,我是原po主说p的你给我p个看看,2025-10-12 23:53:17,2025-10-26 16:03:04
5221072280224708,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,7508_,女神,2025-10-12 23:48:17,2025-10-26 16:03:04
5221070577075003,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,Uranium__,女神,2025-10-12 23:41:31,2025-10-26 16:03:04
5221062427023004,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,ktiiouoy_,女神,2025-10-12 23:09:08,2025-10-26 16:03:04
5221056354979861,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,peachSbear,柳智敏好美,2025-10-12 22:45:00,2025-10-26 16:03:04
5221046731148663,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,-BLKtangerine,p得不像真人,2025-10-12 22:06:46,2025-10-26 16:03:04
5221044819854326,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,兔兔兔比-,这也太好看了,2025-10-12 21:59:09,2025-10-26 16:03:04
5221044673056854,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,宅宅嗳,美神#柳智敏五颜一#,2025-10-12 21:58:35,2025-10-26 16:03:04
5221044472516691,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,月城屿奈,原图直出,2025-10-12 21:57:47,2025-10-26 16:03:04
5221044140643990,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,吃瓜罗伯特,这美貌，我同意楼上说的，人间不值得,2025-10-12 21:56:28,2025-10-26 16:03:04
5221043971036023,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,lovablesunoo,妈妈就是如此美,2025-10-12 21:55:48,2025-10-26 16:03:04
5221043916767256,5221043721212101,推热转的柳智敏封神大屏美貌，美得不像真人 ,柚一颗桃,女神karina,2025-10-12 21:55:34,2025-10-26 16:03:04
5220654391493932,5220624427647184,251011 Zoom Zoom #柳智敏# ©️still 水原一枝花的微博视频 ,雨过天会晴耶,太喜欢今晚这个麻花辫造型了,2025-10-11 20:07:45,2025-10-26 16:01:53
5220627361302867,5220624427647184,251011 Zoom Zoom #柳智敏# ©️still 水原一枝花的微博视频 ,故里皆遗憾,宝宝你在傻乐什么呢,2025-10-11 18:20:20,2025-10-26 16:01:53
5220624831614207,5220624427647184,251011 Zoom Zoom #柳智敏# ©️still 水原一枝花的微博视频 ,吃瓜罗伯特,这舞台表现力，五永一没跑了！,2025-10-11 18:10:17,2025-10-26 16:01:53
5218630749127221,5216746107306143,泰元满了 近日，韩国女团成员柳智敏与演员李宰旭的cp粉带着“柳宰很忙99”应援词登上那艺娜演唱会大屏柳宰就是走到哪里都会有cp粉的应援，不愧是出圈大势cp！❤️ #柳宰很忙# #柳智敏我的英雄学院# ,软萌兔神,#sm承认柳智敏恋情#,2025-10-06 06:06:31,2025-10-26 16:03:18
5217806762642909,5216746107306143,泰元满了 近日，韩国女团成员柳智敏与演员李宰旭的cp粉带着“柳宰很忙99”应援词登上那艺娜演唱会大屏柳宰就是走到哪里都会有cp粉的应援，不愧是出圈大势cp！❤️ #柳宰很忙# #柳智敏我的英雄学院# ,梅西的兔子粉,纯点赞快2000这条好牛,2025-10-03 23:32:17,2025-10-26 16:03:18
5217774689586923,5216746107306143,泰元满了 近日，韩国女团成员柳智敏与演员李宰旭的cp粉带着“柳宰很忙99”应援词登上那艺娜演唱会大屏柳宰就是走到哪里都会有cp粉的应援，不愧是出圈大势cp！❤️ #柳宰很忙# #柳智敏我的英雄学院# ,瑛年恋,柳宰99,2025-10-03 21:24:50,2025-10-26 16:03:18
5217351768217650,5217337004524655,#柳智敏# solo3好帅#lisa# 不停就继续 札幌珉恋的微博视频 ,灰白讯息,hshsjsjjeej,2025-10-02 17:24:18,2025-10-26 16:01:05
5217350899204845,5217337004524655,#柳智敏# solo3好帅#lisa# 不停就继续 札幌珉恋的微博视频 ,藍点薄荷糖,jsbshaosishevejsbdbdd,2025-10-02 17:20:51,2025-10-26 16:01:05
5217350883999864,5217337004524655,#柳智敏# solo3好帅#lisa# 不停就继续 札幌珉恋的微博视频 ,藍点薄荷糖,sknzbzzbsjoaiwjwbebskshd,2025-10-02 17:20:46,2025-10-26 16:01:05
